id,code,name,code_old,name_old
activity_749402,7420.0,Actividades de fotografía,749402,SERVICIO DE FOTOGRAFIA (FOTOGRAFO)
activity_749501,8292.0,Actividades de envasado y empacado,749501,SERVICIOS DE ENVASE Y EMPAQUE
activity_749901,8219.0,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina",749901,SERVICIO DE FOTOCOPIADO Y OTROS
activity_749902,8219.0,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina",749902,SERVICIOS DE LEVANTADO DE TEXTO Y/O CORRECCION DE TEXTOS Y OTROS
activity_749903,8219.0,"Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina",749903,SERVICIOS SECRETARIALES Y/O OFICINISTA
activity_749904,7410.0,Actividades especializadas de diseño,749904,SERVICIO DE DISEÑO O DECORACION DE INTERIORES (POR CUENTA PROPIA).
activity_749905,8220.0,Actividades de centros de llamadas,749905,SERVICIO DE CONTESTACIóN DE TELéFONOS (CALL CENTER)
activity_749906,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",749906,SERVICIOS DE TRADUCTOR
activity_749907,5229.0,Otras actividades de apoyo al  transporte,749907,SERVICIO DE INSPECCION DE TODO TIPO DE MERCADERIAS Y ACTIVOS(INCLUYE DROGAS)
activity_749908,8299.0,Otras actividades de servicios de apoyo  a las empresas n.c.p,749908,SERVICIO DE RECOLECCION DE MONEDAS DE LOS TELEFONOS PUBLICOS
activity_749911,7420.0,Actividades de fotografía,749911,AGENCIAS FOTOGRAFICAS POR CATALOGO
activity_749914,8291.0,Actividades de agencias de cobro y agencias de calificación crediticia,749914,SERVCICIO DE COBRANZA DE RECIBOS PUBLICOS Y OTROS
activity_749917,7490.0,"Otras actividades profesionales, científicas y técnicas n.c.p.",749917,MODELAJE PROFESIONAL (MODELO)
activity_749918,8291.0,Actividades de agencias de cobro y agencias de calificación crediticia,749918,AGENCIAS DE COBRO Y CALIFICACION CREDITICIA
activity_751101,8411.0,Actividades de la administración pública en general,751101,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL
activity_751102,8411.0,Actividades de la administración pública en general,751102,"ACTIVIDADES DE LA ADMINISTRACIÓN PÚBLICA EN GENERAL, NO SUJETAS AL IMPUESTO SOBR"
activity_751103,8411.0,Actividades de la administración pública en general,751103,MUNICIPALIDADES Y CONCEJOS DE DISTRITO
activity_751106,751106,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL GRAVADAS CON IVA,751106,ACTIVIDADES DE LA ADMINISTRACION PUBLICA EN GENERAL GRAVADAS CON IVA
activity_751201,9499.0,Actividades de otras asociaciones n.c.p,751201,"JUNTAS DE EDUCACIÓN, COMEDORES ESCOLARES, PATRONATOS, COOPERATIVAS ESCOLARES, CO"
activity_751202,8411.0,Actividades de la administración pública en general,751202,COMITES CANTONALES DE DEPORTES Y RECREACION
activity_751301,8413.0,Regulación y facilitación de la actividad económica,751301,ACTIVIDADES DEL SECTOR PúBLICO RELACIONADAS CON LA INFRAESTRUCTURA
activity_751302,8413.0,Regulación y facilitación de la actividad económica,751302,FONDOS PUBLICOS (ACTIVIDADES DEL SECTOR PUBLICO)
activity_751401,7010.0,Actividades de oficinas principales,751401,ACTIVIDADES DE SERVICIOS AUXILIARES PARA LA ADMINISTRACIÓN PÚBLICA EN GENERAL
activity_752101,8421.0,Relaciones exteriores,752101,RELACIONES EXTERIORES
activity_752201,8010.0,Actividades de seguridad  privada,752201,ACTIVIDADES DE DEFENSA
activity_752301,8423.0,Actividades de mantenimiento del orden público y de seguridad,752301,ACTIVIDADES DE MANTENIMIENTO DEL ORDEN PÚBLICO Y DE SEGURIDAD
activity_752302,8423.0,Actividades de mantenimiento del orden público y de seguridad,752302,"SERVICIOS DE VIGILANCIA O CONTROL PORTUARIA, COSTERA, AEREA,Y FRONTERIZA"
activity_753001,8430.0,Actividades de planes de seguridad social de afiliación obligatoria,753001,ACTIVIDADES DE PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA
activity_801001,8510.0,Enseñanza preescolar y primaria,801001,ENSEÑANZA PREESCOLAR Y PRIMARIA PRIVADA
activity_801002,8510.0,Enseñanza preescolar y primaria,801002,ENSEÑANZA PREESCOLAR Y PRIMARIA PRIVADA NO AUTORIZADOS POR EL MEP
activity_802101,8521.0,Enseñanza secundaria de formación general,802101,ENSEÑANZA SECUNDARIA PRIVADA
activity_802102,8521.0,Enseñanza secundaria de formación general,802102,ENSEÑANZA SECUNDARIA PRIVADA NO AUTORIZADA POR EL MEP
activity_802201,8530.2,Enseñanza parauniversitaria,802201,ENSEÑANZA DE FORMACIÓN TÉCNICA Y PARAUNIVERSITARIA
activity_802202,8522.0,Enseñanza de formación técnica y profesional,802202,ENSEÑANZA SECUNDARIA DE FORMACIÓN TÉCNICA Y PROFESIONAL NO AUTORIZADA POR EL MEP
activity_803002,8530.1,Enseñanza universitaria ,803002,ENSEÑANZA SUPERIOR PRIVADA (UNIVERSIDADES)
activity_803003,8530.1,Enseñanza universitaria ,803003,ENSEÑANZA SUPERIOR PUBLICA (UNIVERSIDADES)
activity_809001,8549.0,Otros tipos de enseñanza n.c.p,809001,ESCUELAS COMERCIALES (NO ESTATALES)
activity_809004,8549.0,Otros tipos de enseñanza n.c.p,809004,PROFESOR POR CUENTA PROPIA
activity_809005,8542.0,Educación cultural,809005,ENSEÑANZA CULTURAL
activity_809006,8549.0,Otros tipos de enseñanza n.c.p,809006,ENSEÑANZA DE LA DE SEGURIDAD PRIVADA
activity_809007,8542.0,Educación cultural,809007,ESCUELA Y AGENCIA DE MODELOS
activity_851101,8610.0,Actividades de hospitales,851101,ACTIVIDADES DE HOSPITALES
activity_851201,8620.1,Actividades de médicos,851201,GINECÓLOGO
activity_851202,8620.1,Actividades de médicos,851202,SERVICOS DE MÉDICO GENERAL
activity_851203,8620.1,Actividades de médicos,851203,NEURÓLOGOS
activity_851204,8620.1,Actividades de médicos,851204,"SERVICIOS DE OFTALMOLOGO U OCULISTA, OPTOMETRISTA Y/O OPTICO"
activity_851206,8620.1,Actividades de médicos,851206,ORTOPEDISTA (CONSULTA PRIVADA)
